ProductId,SKU,Name,Description,CategoryId,UnitPrice,CostPrice,Weight,Dimensions,StockQty,ReorderThreshold,Status,ImageUrl,IsDeleted
0fe76f21-6ddb-436b-b3e0-fffa5a3fae42,BRD-MAT-026,Memory Foam Mattress,Pressure-relieving queen size memory foam.,1,6999.99,0.00,32,200x150x25,30,6,Active,http://localhost:5192/api/products/images/0fe76f21-6ddb-436b-b3e0-fffa5a3fae42,False
0bfe807a-5b52-4ef3-a2c4-203a35799043,DRN-CHR-032,Modern Plastic Dining Chair,Lightweight moulded plastic dining chair.,2,649.99,0.00,4.1,50x45x92,140,30,Active,http://localhost:5192/api/products/images/0bfe807a-5b52-4ef3-a2c4-203a35799043,False
0675a24a-6b65-4ddd-b0de-48ac8b24feca,KIT-OVN-023,Built-In Oven Stainless Steel,Integrated oven suitable for modular kitchen units.,4,5799.99,0.00,32,60x55x45,12,3,Active,http://localhost:5192/api/products/images/0675a24a-6b65-4ddd-b0de-48ac8b24feca,False
13d36b5b-a6a3-46e5-a7d6-f4dc6d56415c,KIT-RCK-050,4-Tier Kitchen Rack,Powder-coated metal rack for storage and appliances.,4,1399.99,0.00,12,60x35x140,60,15,Active,http://localhost:5192/api/products/images/13d36b5b-a6a3-46e5-a7d6-f4dc6d56415c,False
11c3787a-5327-4c74-a94a-a8ea7f7249bd,LNG-SFA-035,Velvet Sofa,Deep blue velvet sofa with plush cushioning.,3,11499.99,0.00,56,215x90x90,10,3,Active,http://localhost:5192/api/products/images/11c3787a-5327-4c74-a94a-a8ea7f7249bd,False
18007bd8-6ea2-47ca-9ca6-3e8fa6a6d0d1,LNG-CHS-048,Recliner Lounger,Electric reclining lounger with footrest extension.,3,9999.99,0.00,50,200x95x105,8,2,Active,http://localhost:5192/api/products/images/18007bd8-6ea2-47ca-9ca6-3e8fa6a6d0d1,False
19c3539c-206e-4b35-83b8-668c4515088e,DRN-SID-046,Glass Display Sideboard,Dining room display shelf with tempered glass doors.,2,5699.99,3000.00,45,160x42x95,14,5,Active,,False
1c2951ac-18dc-49e0-bfc0-8bc41d44728c,BRD-DRS-005,6-Drawer Dresser,Wide low dresser with smooth sliding drawers.,1,3999.99,2000.00,35,120x45x90,22,6,Inactive,,False
1de502a1-9c57-4dc4-8320-6c97f5424072,KIT-STL-024,Marble Kitchen Stool,High counter stool with marble seat.,4,1599.99,700.00,9.4,45x45x75,48,10,Active,,False
1fb88e7d-935a-46ab-88bc-88f5c8d10a43,BRD-MAT-027,Hybrid Spring Mattress,Spring and gel foam hybrid comfort technology.,1,7899.99,4300.00,34,200x150x26,24,5,Inactive,,False
